Date,Open,High,Low,Close,Adj Close,Volume
2020-08-07,10.100000,10.100000,9.900000,10.020000,10.020000,349000
2020-08-10,10.140000,10.140000,10.030000,10.050000,10.050000,7800
2020-08-11,10.020000,10.030000,10.020000,10.020000,10.020000,1400
2020-08-12,10.030000,10.070000,10.020000,10.050000,10.050000,5100
2020-08-13,10.150000,10.250000,10.040000,10.060000,10.060000,1154500
2020-08-14,10.220000,10.700000,10.150000,10.300000,10.300000,2600
2020-08-17,10.170000,10.710000,10.068000,10.680000,10.680000,122600
2020-08-18,10.750000,10.750000,10.000000,10.210000,10.210000,40600
2020-08-19,10.210000,10.260000,10.010000,10.050000,10.050000,199300
2020-08-20,10.040000,10.040000,10.000000,10.000000,10.000000,151200
2020-08-21,9.860000,10.150000,9.860000,10.000000,10.000000,306400
2020-08-24,10.000000,10.100000,10.000000,10.000000,10.000000,17600
2020-08-25,9.920000,10.065000,9.920000,10.065000,10.065000,18000
2020-08-26,9.940000,10.100000,9.940000,10.050000,10.050000,26100
2020-08-27,9.980000,9.980000,9.920000,9.975000,9.975000,230700
2020-08-28,9.950000,10.000000,9.900000,9.980000,9.980000,143600
2020-08-31,10.010000,10.010000,9.900000,9.950000,9.950000,5300
2020-09-01,9.900000,10.000000,9.900000,9.900000,9.900000,10700
2020-09-02,9.940000,10.060000,9.940000,9.970000,9.970000,864600
2020-09-03,9.960000,10.040000,9.960000,10.020000,10.020000,755100
2020-09-04,10.170000,10.250000,10.030000,10.065000,10.065000,14400
2020-09-08,10.110000,10.200000,10.000000,10.200000,10.200000,18200
2020-09-09,10.340000,10.440000,10.170000,10.400000,10.400000,102900
2020-09-10,10.280000,10.450000,10.060000,10.430000,10.430000,451200
2020-09-11,10.210000,10.470000,10.180000,10.370000,10.370000,1165000
2020-09-14,10.490000,10.500000,10.110000,10.425000,10.425000,47000
2020-09-15,10.320000,10.450000,10.250000,10.450000,10.450000,72600
2020-09-16,10.400000,10.477000,10.210000,10.340000,10.340000,22800
2020-09-17,10.300000,10.310000,10.250000,10.300000,10.300000,19400
2020-09-18,10.310000,10.445000,10.280000,10.410000,10.410000,53400
2020-09-21,10.250000,10.450000,10.250000,10.260000,10.260000,29500
