Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,31.530001,31.790001,31.190001,31.730000,29.919329,219100
2015-09-23,31.799999,31.920000,31.160000,31.410000,29.617592,148900
2015-09-24,31.260000,31.270000,30.820000,31.170000,29.391289,207600
2015-09-25,31.430000,31.500000,31.209999,31.400000,29.608164,213900
2015-09-28,31.230000,31.600000,31.209999,31.520000,29.721313,259400
2015-09-29,31.490000,31.860001,31.340000,31.730000,29.919329,299900
2015-09-30,32.000000,32.680000,31.879999,32.599998,30.739685,448700
2015-10-01,32.590000,32.639999,31.820000,32.099998,30.268217,273400
2015-10-02,31.780001,32.700001,31.459999,32.680000,30.815117,367300
2015-10-05,32.790001,34.049999,32.779999,34.029999,32.088078,417400
2015-10-06,33.619999,33.759998,33.040001,33.660000,31.739199,219100
2015-10-07,33.849998,34.119999,33.369999,33.779999,31.852352,369000
2015-10-08,33.669998,34.380001,33.480000,34.230000,32.276672,253900
2015-10-09,34.279999,34.480000,33.950001,34.349998,32.389820,320900
2015-10-12,34.299999,34.299999,33.860001,33.970001,32.031509,117400
2015-10-13,33.840000,34.279999,33.689999,33.790001,31.861786,138400
2015-10-14,33.730000,34.509998,33.689999,34.349998,32.389820,194500
2015-10-15,34.470001,34.849998,34.389999,34.799999,32.814148,252200
2015-10-16,34.900002,35.119999,34.459999,35.090000,33.087597,389100
2015-10-19,34.889999,35.090000,34.490002,34.590000,32.616116,280800
2015-10-20,34.549999,34.950001,34.410000,34.549999,32.578407,223900
2015-10-21,34.459999,34.590000,33.970001,34.000000,32.059792,286800
2015-10-22,31.500000,36.250000,31.500000,35.509998,33.483620,858700
2015-10-23,35.790001,35.990002,35.099998,35.400002,33.379894,579800
2015-10-26,35.060001,35.189999,34.279999,34.480000,32.512402,518500
2015-10-27,34.259998,34.770000,34.009998,34.349998,32.389820,593500
2015-10-28,34.480000,34.939999,34.259998,34.830002,32.842434,299000
2015-10-29,34.669998,34.849998,34.360001,34.790001,32.918133,230800
2015-10-30,34.849998,34.950001,34.529999,34.669998,32.804577,450500
2015-11-02,34.730000,35.400002,34.529999,35.259998,33.362835,400100
2015-11-03,35.209999,35.720001,35.020000,35.540001,33.627769,334300
2015-11-04,35.549999,35.730000,35.180000,35.270000,33.372299,373600
2015-11-05,35.330002,35.560001,34.919998,35.400002,33.495308,399300
2015-11-06,35.410000,36.060001,34.959999,35.860001,33.930561,629100
2015-11-09,35.779999,35.799999,34.779999,35.000000,33.116825,452300
2015-11-10,34.980000,35.150002,34.720001,34.770000,32.899200,287500
2015-11-11,34.740002,34.840000,34.320000,34.369999,32.520725,287800
2015-11-12,34.160000,34.410000,33.849998,33.849998,32.028702,226300
2015-11-13,33.610001,33.759998,32.779999,33.270000,31.479914,321300
2015-11-16,33.189999,33.779999,32.939999,33.779999,31.962475,428000
2015-11-17,33.860001,34.650002,33.680000,34.410000,32.558578,548300
2015-11-18,34.500000,34.930000,34.470001,34.869999,32.993824,290700
2015-11-19,34.840000,35.020000,34.610001,34.619999,32.757275,391400
2015-11-20,34.759998,34.900002,34.580002,34.700001,32.832966,271400
2015-11-23,34.660000,34.840000,33.930000,34.139999,32.303101,284000
2015-11-24,34.020000,34.209999,33.470001,34.040001,32.208477,339100
2015-11-25,33.980000,34.529999,33.980000,34.389999,32.539646,169600
2015-11-27,34.330002,34.810001,34.200001,34.790001,32.918133,141100
2015-11-30,34.720001,34.849998,34.400002,34.580002,32.719421,253100
2015-12-01,34.709999,35.040001,34.419998,35.029999,33.145210,305200
2015-12-02,35.070000,35.310001,34.770000,35.189999,33.296612,349100
2015-12-03,35.259998,35.279999,34.380001,34.520000,32.662659,267100
2015-12-04,34.500000,34.840000,34.490002,34.610001,32.747803,130800
2015-12-07,34.419998,34.630001,34.000000,34.180000,32.340950,157600
2015-12-08,33.869999,34.110001,33.570000,33.740002,31.924623,197000
2015-12-09,33.590000,34.160000,33.160000,33.459999,31.659685,409600
2015-12-10,33.410000,33.750000,33.220001,33.430000,31.631300,224000
2015-12-11,33.070000,33.090000,32.560001,32.849998,31.082506,249700
2015-12-14,32.810001,32.849998,32.340000,32.570000,30.817574,255900
2015-12-15,32.810001,33.279999,32.549999,33.150002,31.366364,302000
2015-12-16,33.340000,34.040001,33.160000,34.009998,32.180092,341400
2015-12-17,33.990002,34.279999,33.759998,34.090000,32.255787,455500
2015-12-18,34.099998,34.279999,33.799999,34.230000,32.388260,615700
2015-12-21,34.410000,34.430000,33.209999,33.740002,31.924623,480600
2015-12-22,33.820000,34.689999,33.730000,34.549999,32.691044,256600
2015-12-23,34.700001,35.230000,34.599998,35.160000,33.268219,338400
2015-12-24,35.080002,35.180000,34.630001,34.910000,33.031666,149600
2015-12-28,34.750000,34.830002,34.299999,34.419998,32.568031,165000
2015-12-29,34.500000,34.709999,34.180000,34.599998,32.738342,246400
2015-12-30,34.509998,34.700001,34.110001,34.139999,32.303101,306200
2015-12-31,33.970001,34.119999,33.619999,33.650002,31.839462,222600
2016-01-04,33.110001,33.380001,32.689999,33.220001,31.432598,394000
2016-01-05,33.270000,33.770000,33.070000,33.630001,31.820539,373900
2016-01-06,33.220001,33.490002,33.090000,33.299999,31.508297,530600
2016-01-07,32.660000,32.750000,32.009998,32.130001,30.401245,237800
2016-01-08,32.299999,32.509998,31.559999,31.590000,29.890299,255200
2016-01-11,31.490000,32.410000,31.219999,31.600000,29.899767,463000
2016-01-12,31.860001,32.070000,31.100000,31.440001,29.748375,233800
2016-01-13,31.520000,31.670000,30.860001,31.059999,29.388819,403200
2016-01-14,31.070000,31.570000,30.400000,31.370001,29.682140,317700
2016-01-15,30.680000,31.629999,30.620001,31.360001,29.672680,331800
2016-01-19,31.620001,31.850000,30.830000,31.160000,29.483440,330200
2016-01-20,30.799999,31.250000,30.420000,31.000000,29.332045,649500
2016-01-21,30.990000,31.100000,30.379999,30.500000,28.858946,309200
2016-01-22,30.809999,31.059999,30.620001,30.730000,29.076572,436900
2016-01-25,30.760000,31.170000,30.629999,30.969999,29.303661,480600
2016-01-26,31.190001,32.320000,31.049999,32.270000,30.533718,355200
2016-01-27,32.060001,32.509998,31.600000,31.730000,30.022766,429000
2016-01-28,34.000000,36.110001,33.939999,35.709999,33.788620,1627100
2016-01-29,35.900002,36.080002,35.560001,36.009998,34.072479,792400
2016-02-01,35.779999,36.020000,35.360001,35.779999,33.854858,937500
2016-02-02,35.500000,35.740002,35.230000,35.730000,33.807545,657300
2016-02-03,35.950001,36.930000,35.750000,36.849998,34.867287,1291600
2016-02-04,36.459999,37.320000,36.340000,37.139999,35.256496,659000
2016-02-05,37.070000,37.099998,36.639999,36.709999,34.848293,416500
